time,Z7,Z6,Z5,Z4,Z3,Z2,Z1,Z0,X3,X2,X1,X0,Y3,Y2,Y1,Y0
6.875e-07,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
6.925e-07,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
6.975e-07,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0
7.024999999999999e-07,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0
7.075e-07,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0
7.125e-07,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0
7.175e-07,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0
7.225e-07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
7.275e-07,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1
7.325e-07,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
7.375e-07,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1
7.425e-07,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
7.475e-07,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1
7.525e-07,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1
7.575e-07,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1
7.625e-07,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
7.675e-07,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1
7.725e-07,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1
7.775e-07,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1
7.825e-07,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1
7.875e-07,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1
7.925e-07,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1
7.975e-07,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1
8.024999999999999e-07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
8.075e-07,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0
8.125e-07,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0
8.175e-07,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0
8.225e-07,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0
8.275e-07,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0
8.325e-07,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0
8.375e-07,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0
8.425e-07,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0
8.475e-07,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0
8.525e-07,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0
8.574999999999999e-07,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0
8.625e-07,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0
8.675e-07,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0
8.725e-07,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0
8.775e-07,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0
8.825e-07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
8.875e-07,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1
8.925e-07,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1
8.975e-07,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1
