time,Z7,Z6,Z5,Z4,Z3,Z2,Z1,Z0,X3,X2,X1,X0,Y3,Y2,Y1,Y0,A_val,B_val,Z_val,Expected,Pass
7.775e-07,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,11,9,99,99,True
7.825e-07,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,12,9,108,108,True
7.875e-07,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,13,9,117,117,True
7.925e-07,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,14,9,126,126,True
7.975e-07,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,15,9,135,135,True
8.024999999999999e-07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,10,0,0,True
8.075e-07,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,10,10,10,True
8.125e-07,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,2,10,20,20,True
8.175e-07,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,3,10,30,30,True
8.225e-07,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,4,10,40,40,True
8.275e-07,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,5,10,50,50,True
8.325e-07,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,6,10,60,60,True
8.375e-07,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,7,10,70,70,True
8.425e-07,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,8,10,80,80,True
8.475e-07,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,9,10,90,90,True
8.525e-07,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,10,10,100,100,True
8.574999999999999e-07,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,11,10,110,110,True
8.625e-07,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,12,10,120,120,True
8.675e-07,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,13,10,130,130,True
8.725e-07,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,14,10,140,140,True
8.775e-07,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,15,10,150,150,True
8.825e-07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,11,0,0,True
8.875e-07,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,11,11,11,True
8.925e-07,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,2,11,22,22,True
8.975e-07,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,3,11,33,33,True
9.025e-07,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,4,11,44,44,True
9.075e-07,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,5,11,55,55,True
9.125e-07,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,6,11,66,66,True
9.175e-07,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,7,11,77,77,True
9.225e-07,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,8,11,88,88,True
9.275e-07,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,9,11,99,99,True
9.325e-07,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,10,11,110,110,True
9.375e-07,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,11,11,121,121,True
9.425e-07,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,12,11,132,132,True
9.475e-07,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,13,11,143,143,True
9.525e-07,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,14,11,154,154,True
9.575e-07,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,15,11,165,165,True
9.625e-07,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,12,0,0,True
9.675e-07,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,12,12,12,True
9.725e-07,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,2,12,24,24,True
9.775e-07,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,3,12,36,36,True
9.825e-07,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,4,12,48,48,True
9.875e-07,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,5,12,60,60,True
9.925e-07,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,6,12,72,72,True
9.975e-07,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,7,12,84,84,True
1.0025e-06,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,8,12,96,96,True
1.0075e-06,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,9,12,108,108,True
1.0125e-06,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,10,12,120,120,True
1.0175e-06,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,11,12,132,132,True
1.0225e-06,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,12,12,144,144,True
1.0275e-06,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,13,12,156,156,True
1.0325e-06,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,14,12,168,168,True
1.0375e-06,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,15,12,180,180,True
1.0425e-06,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,13,0,0,True
1.0475e-06,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,13,13,13,True
1.0525e-06,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,2,13,26,26,True
1.0575e-06,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,3,13,39,39,True
1.0625e-06,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,4,13,52,52,True
